Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
NEELKANTH TRAVELS,A/C Seater Push Back (2+2),05:15,08:30,03h 15m,INR 300,13 Seats available,"4.4
141",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
MAA Anada (UNDER ASTC),AC Seater (2+2),05:20,08:30,03h 10m,INR 304.2,30 Seats available,"3.3
44",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Kanchan Travels,AC Seater (2+2),05:30,08:45,03h 15m,INR 349,26 Seats available,"4.3
48",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Mahi Travels(Under ASTC),A/C Seater (2+2),05:40,08:55,03h 15m,349,11 Seats available,"4.5
368",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
WARISPIYA TRAVELS,AC Seater (2+2),05:45,09:00,03h 15m,INR 360,24 Seats available,"4.2
273",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Orient Transline,A/C Seater (2+1),05:55,09:00,03h 05m,INR 342.86,17 Seats available,"4.4
62",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
WARISPIYA TRAVELS,Bharat Benz A/C Seater (2+2),06:30,10:25,03h 55m,INR 360,32 Seats available,"4.2
376",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Upasana Travels (Under ASTC),A/C Seater (2+2),06:35,10:40,04h 05m,INR 285,18 Seats available,"3.0
10",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Orient Transline,A/C Seater (2+1),06:45,10:10,03h 25m,INR 361.9,1 Seat available,"4.5
7",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Orient Transline,A/C Seater (2+1),07:20,11:00,03h 40m,INR 361.9,10 Seats available,"4.0
99",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
WARISPIYA TRAVELS,AC Seater (2+2),07:45,12:00,04h 15m,INR 360,31 Seats available,"4.1
341",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Mahi Travels(Under ASTC),A/C Seater (2+2),08:00,11:30,03h 30m,379,29 Seats available,"4.6
110",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Kalpana Travels,AC Seater (2+2),08:50,12:30,03h 40m,342,37 Seats available,"4.3
25",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Pranjit Travels (Under ASTC),NON A/C Seater (2+1),10:10,15:00,04h 50m,INR 450,36 Seats available,"3.1
18",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Chartered Bus - ASTC,A/C Seater Push Back (2+2),11:30,16:15,04h 45m,INR 485.57,21 Seats available,"4.1
110",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
SHIVAM TRAVELS,Bharat Benz A/C Seater (2+1),15:00,19:15,04h 15m,324,35 Seats available,"4.0
196",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,13:00,17:00,04h 00m,INR 389.13,29 Seats available,"4.7
483",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
BARBIE TRAVELS,A/C Seater Push Back (2+2),13:10,17:50,04h 40m,INR 350,32 Seats available,"4.1
4",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,14:30,18:30,04h 00m,INR 432.06,35 Seats available,"4.6
118",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,15:30,19:15,03h 45m,INR 389.13,34 Seats available,"4.6
488",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),22:15,03:45,05h 30m,450,28 Seats available,"3.6
27",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Pranjit Travels (Under ASTC),NON A/C Seater (2+1),01:15,06:30,05h 15m,INR 450,15 Seats available,"2.9
12",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
DESTINY TRAVELS,NON A/C Seater (2+1),01:15,06:00,28h 45m,399,26 Seats available,1.9,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Puja (Kaybom),A/C Seater Push Back (2+2),06:10,10:00,03h 50m,314,33 Seats available,New,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Upasana Travels (Under ASTC),Non AC Seater (2+2),06:50,11:00,04h 10m,INR 290,19 Seats available,2.9,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Karisma (Aziba),NON A/C Seater (2+1),09:45,14:10,04h 25m,INR 350,25 Seats available,2.6,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Himalayan Travels,NON AC Seater / Sleeper 2+1,23:40,04:00,04h 20m,INR 500,31 Seats available,"1.7
17",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Pranjit Travels (Under ASTC),Bharat Benz A/C Seater (2+1),01:15,06:15,05h 00m,INR 550,4 Seats available,"2.5
7",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 139846,Volvo AC Seater 2+2,06:10,10:00,03h 50m,INR 298,1 Seat available,"4.3
255",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Assam State Transport Corporation (ASTC) - 149849,Volvo AC Seater 2+2,06:30,10:45,04h 15m,INR 298,2 Seats available,"3.5
29",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Assam State Transport Corporation (ASTC) - 143955,Bharat Benz A/C Seater (2+2),07:00,11:00,04h 00m,INR 298,7 Seats available,"4.0
188",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Assam State Transport Corporation (ASTC) - 173419,Bharat Benz A/C Seater (2+2),07:15,10:50,03h 35m,INR 298,2 Seats available,"3.7
70",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Assam State Transport Corporation (ASTC) - 175310,Bharat Benz A/C Seater (2+2),08:30,12:45,04h 15m,INR 298,20 Seats available,"2.7
21",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Assam State Transport Corporation (ASTC) - 154910,Bharat Benz A/C Seater (2+2),10:30,15:00,04h 30m,INR 298,26 Seats available,"3.7
335",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Assam State Transport Corporation (ASTC) - 139720,Volvo AC Seater 2+2,13:45,18:00,04h 15m,INR 298,24 Seats available,"4.2
42",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,06:15,10:45,04h 30m,INR 389.13,5 Seats available,"4.6
414",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
SHIVAM TRAVELS,Bharat Benz A/C Seater (2+1),06:45,11:10,04h 25m,INR 360,23 Seats available,"4.3
106",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Chartered Bus - ASTC,A/C Seater Push Back (2+2),07:00,11:00,04h 00m,INR 485.57,11 Seats available,"4.3
114",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Yatra Travels,NON A/C Seater (2+1),07:00,12:00,05h 00m,450,24 Seats available,3.6,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Chartered Bus - ASTC,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),07:30,11:30,04h 00m,INR 389.13,18 Seats available,"4.7
378",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Pranjit Travels (Under ASTC),NON A/C Seater (2+1),07:45,13:10,05h 25m,INR 450,32 Seats available,"3.1
12",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,08:30,12:30,04h 00m,INR 432.06,16 Seats available,"4.8
126",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
NEELKANTH TRAVELS,A/C Seater Push Back (2+2),09:05,14:30,05h 25m,INR 300,41 Seats available,"3.7
32",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Mahi Travels(Under ASTC),A/C Seater (2+2),10:00,15:00,05h 00m,359,32 Seats available,"4.1
294",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Kanchan Travels,AC Seater (2+2),10:45,16:00,05h 15m,INR 361,28 Seats available,"3.9
30",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Pranjit Travels (Under ASTC),Bharat Benz A/C Seater (2+1),21:30,02:30,05h 00m,510,25 Seats available,"4.1
7",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Orient Transline,A/C Seater (2+1),11:30,15:50,04h 20m,INR 380.95,27 Seats available,"3.8
314",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Orient Transline,A/C Seater (2+1),12:15,17:00,04h 45m,INR 380.95,28 Seats available,"5.0
9",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Orient Transline,A/C Seater (2+1),13:00,17:10,04h 10m,INR 380.95,27 Seats available,"4.2
163",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Mahi Travels(Under ASTC),A/C Seater (2+2),14:15,17:50,03h 35m,389,42 Seats available,"4.5
140",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
WARISPIYA TRAVELS,AC Seater (2+2),15:00,18:40,03h 40m,INR 360,30 Seats available,"4.4
384",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Yatra Travels,NON AC Seater/ Sleeper (2+1),20:30,01:00,04h 30m,400,46 Seats available,"3.8
9",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
WARISPIYA TRAVELS,AC Seater (2+2),15:35,19:15,03h 40m,INR 360,36 Seats available,"4.0
313",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
WARISPIYA TRAVELS,Bharat Benz A/C Seater (2+2),16:15,19:40,03h 25m,INR 360,35 Seats available,"4.2
424",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Yatra Travels,NON A/C Seater (2+1),18:00,23:30,05h 30m,400,29 Seats available,"3.8
25",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Kalpana Travels,AC Seater (2+2),16:50,20:15,03h 25m,342,37 Seats available,"4.7
42",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Yatra Travels,NON AC Seater/ Sleeper (2+1),20:00,00:00,04h 00m,400,45 Seats available,"3.5
34",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),20:00,01:15,05h 15m,400,27 Seats available,"2.9
11",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Pranjit Travels (Under ASTC),Non AC Seater (2+1),21:15,01:45,04h 30m,INR 450,37 Seats available,3.2,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
KIRAN TRAVELS,A/C Seater (2+1),20:40,00:30,03h 50m,500,26 Seats available,"3.1
6",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Pranjit Travels (Under ASTC),NON A/C Seater (2+1),21:45,02:00,04h 15m,INR 450,27 Seats available,"3.0
12",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Pranjit Travels (Under ASTC),A/C Seater / Sleeper (2+1),20:45,02:30,05h 45m,INR 500,38 Seats available,3.2,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
PANKAJ TRAVELS,AC Seater (2+2),05:15,10:00,04h 45m,INR 350,29 Seats available,"2.5
4",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Karisma (Aziba),NON A/C Seater (2+1),05:45,10:40,04h 55m,INR 350,20 Seats available,"2.8
10",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
MAA Anada (UNDER ASTC),AC Seater (2+2),09:30,14:45,05h 15m,INR 328.5,40 Seats available,"2.8
43",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),09:30,13:00,03h 30m,INR 350,31 Seats available,"2.1
11",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Vihaan Travels,A/C Seater (2+1),10:00,14:30,04h 30m,INR 350,15 Seats available,2.0,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
NETWORK TRAVELS,NON A/C Seater Push Back (2+2),10:30,16:15,05h 45m,INR 250,23 Seats available,"2.6
11",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Upasana Travels (Under ASTC),Non AC Seater (2+2),11:00,15:00,04h 00m,INR 290,20 Seats available,2.9,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Upasana Travels (Under ASTC),A/C Seater (2+2),11:30,15:40,04h 10m,INR 300,20 Seats available,"1.6
7",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Puja (Kaybom),A/C Seater Push Back (2+2),14:40,18:20,03h 40m,314,40 Seats available,New,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
DESTINY TRAVELS,NON A/C Seater (2+1),18:45,23:30,28h 45m,408,31 Seats available,1.9,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
RAYAN TRAVELS,Non A/C Seater / Sleeper (2+1),19:15,23:59,04h 44m,550,49 Seats available,3.6,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
